hour,day_of_week,day_of_year,temperature_c,demand
12,1,16,11.2,20845.0
13,1,16,12.9,20695.0
14,1,16,11.9,21290.0
15,1,16,11.2,22629.0
16,1,16,10.5,24876.0
17,1,16,12.5,26530.0
18,1,16,15.1,26777.0
19,1,16,17.0,26253.0
20,1,16,18.5,25243.0
21,1,16,19.7,24895.0
22,1,16,19.4,24957.0
23,1,16,18.4,24926.0
0,2,17,15.7,25237.0
1,2,17,13.6,24999.0
2,2,17,12.3,25519.0
3,2,17,12.2,27388.0
4,2,17,10.7,27415.0
5,2,17,10.3,26938.0
6,2,17,9.8,26562.0
7,2,17,9.9,25580.0
8,2,17,10.0,23894.0
9,2,17,10.2,22880.0
10,2,17,10.0,22443.0
11,2,17,10.1,21856.0
12,2,17,10.3,21500.0
13,2,17,10.4,21175.0
14,2,17,10.4,21054.0
15,2,17,10.5,21797.0
16,2,17,11.1,24075.0
17,2,17,11.9,25821.0
18,2,17,13.2,26205.0
19,2,17,14.1,26041.0
20,2,17,15.3,25265.0
21,2,17,16.7,24924.0
22,2,17,17.6,24361.0
23,2,17,18.0,24596.0
0,3,18,17.3,24072.0
1,3,18,15.1,24045.0
2,3,18,13.6,24514.0
3,3,18,11.9,26742.0
4,3,18,12.4,27056.0
5,3,18,10.6,26768.0
6,3,18,10.4,25925.0
7,3,18,10.0,25115.0
8,3,18,9.9,23946.0
9,3,18,9.7,22829.0
10,3,18,9.4,22089.0
11,3,18,9.4,21852.0
12,3,18,10.3,21396.0
13,3,18,11.3,21146.0
14,3,18,10.7,21178.0
15,3,18,10.5,22591.0
16,3,18,11.9,24655.0
17,3,18,13.7,26287.0
18,3,18,15.4,26380.0
19,3,18,16.7,25694.0
20,3,18,17.5,24839.0
21,3,18,18.3,24535.0
22,3,18,18.7,24061.0
23,3,18,18.7,24078.0
0,4,19,17.7,23904.0
1,4,19,15.0,23678.0
2,4,19,13.8,24584.0
3,4,19,13.1,26920.0
4,4,19,14.4,26919.0
5,4,19,14.0,26443.0
6,4,19,14.0,25823.0
7,4,19,14.0,25176.0
8,4,19,11.5,23809.0
9,4,19,12.4,22524.0
10,4,19,12.2,22208.0
11,4,19,11.5,21535.0
12,4,19,9.7,21409.0
13,4,19,11.0,21207.0
14,4,19,11.9,21304.0
15,4,19,11.6,22434.0
16,4,19,11.5,24247.0
17,4,19,12.6,25746.0
18,4,19,13.8,25664.0
19,4,19,15.5,25600.0
20,4,19,16.4,25207.0
21,4,19,17.1,25395.0
22,4,19,17.7,25128.0
23,4,19,18.4,24840.0
0,5,20,18.2,24390.0
1,5,20,16.8,24970.0
2,5,20,14.5,25396.0
3,5,20,14.2,26717.0
4,5,20,14.5,26682.0
5,5,20,13.9,26047.0
6,5,20,13.5,25332.0
7,5,20,13.8,24645.0
8,5,20,13.5,23475.0
9,5,20,13.2,22294.0
10,5,20,12.9,21769.0
11,5,20,12.8,21150.0
12,5,20,12.8,20847.0
13,5,20,12.7,20262.0
14,5,20,12.9,20258.0
15,5,20,12.9,20542.0
16,5,20,13.3,21539.0
17,5,20,13.7,21743.0
18,5,20,14.4,22339.0
19,5,20,14.6,22563.0
20,5,20,15.4,23461.0
21,5,20,14.8,23563.0
22,5,20,14.8,23374.0
23,5,20,14.1,23716.0
0,6,21,13.9,23973.0
1,6,21,13.6,24287.0
2,6,21,12.7,24554.0
3,6,21,12.5,25542.0
4,6,21,12.9,25426.0
5,6,21,12.9,25032.0
6,6,21,12.7,24304.0
7,6,21,12.3,23995.0
8,6,21,12.1,23296.0
9,6,21,12.2,22461.0
10,6,21,12.4,21905.0
11,6,21,12.0,21718.0
12,6,21,12.0,21394.0
13,6,21,12.1,21293.0
14,6,21,12.2,20875.0
15,6,21,12.0,20519.0
16,6,21,12.5,21107.0
17,6,21,13.0,21092.0
18,6,21,13.9,21464.0
19,6,21,15.0,21926.0
20,6,21,15.1,22282.0
21,6,21,16.2,21901.0
22,6,21,16.7,22067.0
23,6,21,17.0,21974.0
0,0,22,16.5,21967.0
1,0,22,15.4,21975.0
2,0,22,13.9,23094.0
3,0,22,13.1,24931.0
4,0,22,12.5,24955.0
5,0,22,13.0,24694.0
6,0,22,12.8,24000.0
7,0,22,13.2,23313.0
8,0,22,13.5,22605.0
9,0,22,13.5,21825.0
10,0,22,13.3,22241.0
11,0,22,13.1,21561.0
12,0,22,12.7,20840.0
13,0,22,13.1,20243.0
14,0,22,12.9,20246.0
15,0,22,12.5,21453.0
16,0,22,13.0,23561.0
17,0,22,13.8,25285.0
18,0,22,15.4,26327.0
19,0,22,15.3,26990.0
20,0,22,14.2,27077.0
21,0,22,15.2,26257.0
22,0,22,16.7,25253.0
23,0,22,16.7,25303.0
0,1,23,15.3,25432.0
1,1,23,13.5,25124.0
2,1,23,13.3,25783.0
3,1,23,13.1,27042.0
4,1,23,12.7,27267.0
5,1,23,11.0,26565.0
6,1,23,11.7,25829.0
7,1,23,12.7,24935.0
8,1,23,12.3,23767.0
9,1,23,12.0,22468.0
10,1,23,11.9,21451.0
11,1,23,10.1,20793.0
12,1,23,10.0,20876.0
13,1,23,12.5,20605.0
14,1,23,11.7,20651.0
15,1,23,11.2,21304.0
16,1,23,11.2,23202.0
17,1,23,12.2,24690.0
18,1,23,14.4,24419.0
19,1,23,16.8,23578.0
20,1,23,18.8,23383.0
21,1,23,20.4,23075.0
22,1,23,20.7,22274.0
23,1,23,20.0,22185.0
0,2,24,18.2,22496.0
1,2,24,16.4,22993.0
2,2,24,14.5,23937.0
3,2,24,12.8,25921.0
4,2,24,11.6,26564.0
5,2,24,11.6,26052.0
6,2,24,11.6,25318.0
7,2,24,10.8,24758.0
8,2,24,10.6,23627.0
9,2,24,10.5,22276.0
10,2,24,11.1,21745.0
11,2,24,12.5,20993.0
12,2,24,12.3,20922.0
13,2,24,11.6,20578.0
14,2,24,10.5,20629.0
15,2,24,10.7,21700.0
16,2,24,11.5,23632.0
17,2,24,12.9,25086.0
18,2,24,14.1,25590.0
19,2,24,15.1,25917.0
20,2,24,16.1,26124.0
21,2,24,16.8,25969.0
22,2,24,17.5,26379.0
23,2,24,17.4,25671.0
0,3,25,16.6,25093.0
1,3,25,15.2,25054.0
2,3,25,13.5,25658.0
3,3,25,13.4,26909.0
4,3,25,12.1,27009.0
